word,prob,k,sort
casualty,0.025,0,0
treaty,0.015,0,1
dollar,0.014,0,2
estimate,0.013,0,3
specialty,0.013,0,4
mortgage,0.011,0,5
excess,0.011,0,6
exchange,0.01,0,7
crop,0.01,0,8
energy,0.01,0,9
proﬁt,0.048,1,0
eﬀect,0.026,1,1
proﬁtability,0.022,1,2
diﬀerent,0.021,1,3
oﬀ,0.019,1,4
motor,0.017,1,5
ﬁgure,0.015,1,6
ﬂow,0.012,1,7
eﬃciency,0.012,1,8
comparison,0.012,1,9
brand,0.018,2,0
channel,0.018,2,1
transformation,0.015,2,2
innovation,0.014,2,3
employee,0.013,2,4
ambition,0.013,2,5
priority,0.012,2,6
journey,0.011,2,7
agent,0.011,2,8
proposition,0.01,2,9
annuity,0.028,3,0
synergy,0.016,3,1
proposition,0.013,3,2
scheme,0.012,3,3
advice,0.011,3,4
efficiency,0.011,3,5
integration,0.011,3,6
generation,0.011,3,7
adviser,0.01,3,8
saving,0.01,3,9
pandemic,0.044,4,0
payment,0.023,4,1
crisis,0.019,4,2
employee,0.017,4,3
lockdown,0.017,4,4
government,0.013,4,5
network,0.012,4,6
economy,0.012,4,7
interruption,0.012,4,8
situation,0.011,4,9
generation,0.046,5,0
surplus,0.029,5,1
force,0.023,5,2
requirement,0.015,5,3
remittance,0.013,5,4
son,0.013,5,5
longevity,0.012,5,6
coverage,0.012,5,7
mortgage,0.012,5,8
scenario,0.01,5,9
relationship,0.016,6,0
broker,0.012,6,1
specialty,0.01,6,2
cycle,0.009,6,3
organization,0.009,6,4
capacity,0.009,6,5
demand,0.009,6,6
discip,0.009,6,7
unwriter,0.008,6,8
leaship,0.008,6,9
website,0.049,7,0
webcast,0.027,7,1
report,0.019,7,2
press,0.019,7,3
travel,0.017,7,4
picipant_mode,0.016,7,5
ship,0.016,7,6
obligation,0.015,7,7
member,0.015,7,8
discussion,0.014,7,9
figure,0.019,8,0
fee,0.014,8,1
inflow,0.013,8,2
exchange,0.012,8,3
estate,0.011,8,4
guidance,0.01,8,5
entity,0.01,8,6
provision,0.01,8,7
buyback,0.009,8,8
charge,0.009,8,9
auto,0.046,9,0
description_px_ytd,0.019,9,1
agent,0.018,9,2
production,0.014,9,3
marketplace,0.014,9,4
state,0.013,9,5
frequency,0.011,9,6
efit,0.011,9,7
homeowner,0.011,9,8
worker_compensation,0.011,9,9
meeting,0.032,10,0
stock,0.025,10,1
forecast,0.02,10,2
disaster,0.018,10,3
 ,0.016,10,4
yen,0.016,10,5
report,0.016,10,6
security,0.015,10,7
board,0.014,10,8
subsidiary,0.013,10,9
kind,0.038,11,0
money,0.021,11,1
extent,0.016,11,2
vitality,0.016,11,3
healthcare,0.015,11,4
bank,0.014,11,5
mortality,0.014,11,6
idea,0.014,11,7
behavior,0.012,11,8
lapse,0.012,11,9
