topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
0.06857145,0.017883258,0.0508165,0.0025275813,0.27980432,0.005235043,0.0035780587,0.101412,0.3612647,0.0054059858,0.10115134,0.002349779
0.015927464,0.0073626656,0.009150669,0.011541469,0.46038887,0.02390431,0.016338171,0.017292203,0.31228167,0.02468487,0.09039804,0.010729587
0.009545037,0.093460836,0.094532356,0.051440854,0.27590257,0.014325414,0.0988397,0.27750847,0.053571872,0.014793189,0.009649624,0.0064300443
0.0037970173,0.0017552178,0.037604988,0.0027514207,0.46398932,0.005698652,0.0038949272,0.21666348,0.0035991396,0.21842584,0.039262142,0.0025578726
0.0033257746,0.00153738,0.0019107286,0.0024099457,0.4219178,0.020504978,0.0034115333,0.3293959,0.0031524554,0.14477658,0.06541653,0.0022404187
0.03986841,0.0032534504,0.004043542,0.0051,0.4660813,0.07622356,0.0072195902,0.23745328,0.0066713216,0.010907871,0.13843644,0.0047412417
0.047698133,0.0038923924,0.0048376494,0.0061015845,0.007725128,0.4839712,0.16574872,0.12697525,0.007981496,0.09160569,0.04779039,0.00567237
0.03926585,0.01815112,0.02255907,0.02845309,0.402347,0.058931097,0.04027836,0.04263033,0.03721955,0.06085541,0.22285756,0.026451563
0.012278491,0.0056758826,0.121603996,0.0661722,0.011264774,0.24752733,0.2416946,0.12788032,0.12618837,0.01902958,0.01241303,0.008271445
0.35101056,0.028644117,0.03560026,0.04490156,0.05684922,0.09299863,0.063562915,0.06727453,0.058735833,0.09603537,0.06264405,0.041742973
0.015927464,0.0073626656,0.009150669,0.23442966,0.0146124875,0.09820037,0.016338171,0.017292203,0.53516984,0.02468487,0.016101986,0.010729587
0.06955337,0.0056758826,0.121603996,0.2952717,0.011264774,0.3048022,0.012595105,0.013330569,0.12618837,0.01902958,0.01241303,0.008271445
0.011016548,0.0050925342,0.3660477,0.007982887,0.16427207,0.01653389,0.011300622,0.3202906,0.010442432,0.06846213,0.011137259,0.0074213324
0.0057229106,0.0026454856,0.16346022,0.19101465,0.005250425,0.008589078,0.005870482,0.27316707,0.005424667,0.27582335,0.0057856184,0.05724602
0.1932324,0.0086476365,0.27253547,0.27534354,0.017162735,0.11533881,0.019189594,0.020310128,0.017732302,0.028993003,0.018912189,0.01260217
0.033187225,0.015341203,0.019066771,0.024048356,0.030447276,0.049808163,0.034042995,0.19083768,0.031457707,0.5158551,0.03355087,0.02235668
0.009138167,0.1321033,0.005250072,0.0066217612,0.008383716,0.31209928,0.009373804,0.22305295,0.051288296,0.2272944,0.009238296,0.006155955
0.015927464,0.0073626656,0.009150669,0.011541469,0.0146124875,0.2467925,0.016338171,0.017292203,0.6094659,0.02468487,0.016101986,0.010729587
0.0024234583,0.0011202734,0.0013923286,0.0017561031,0.02483255,0.25233808,0.2172731,0.17219992,0.29621646,0.026365126,0.0024500128,0.0016325704
0.14301774,0.002718045,0.0033781147,0.0042607165,0.0053944318,0.1459625,0.14316934,0.0063836914,0.38955945,0.036540385,0.11565459,0.0039609973
0.13701724,0.0042242296,0.17575552,0.0066217612,0.008383716,0.013714774,0.09462652,0.09517389,0.008661941,0.14204168,0.3076228,0.006155955
0.056117516,0.0025114,0.18051763,0.003936787,0.004984309,0.3376041,0.15762694,0.031240692,0.18254606,0.008419992,0.03083471,0.0036598546
0.43540174,0.0042242296,0.005250072,0.0066217612,0.3067682,0.013714774,0.009373804,0.009921167,0.17916736,0.014162609,0.009238296,0.006155955
0.010478096,0.004843628,0.2504032,0.00759271,0.00961302,0.26010907,0.010748285,0.10912923,0.009932041,0.016239272,0.30385286,0.0070586023
0.6163813,0.011714296,0.014559081,0.01836294,0.023249052,0.038032714,0.025994685,0.02751259,0.024020603,0.039274618,0.14382692,0.017071202
0.028738337,0.013284648,0.016510788,0.2889332,0.026365688,0.31123978,0.1635337,0.03120077,0.027240667,0.044539552,0.02905323,0.01935967
0.015927464,0.0073626656,0.1577428,0.011541469,0.088908546,0.61827284,0.016338171,0.017292203,0.015097422,0.02468487,0.016101986,0.010729587
0.0070381053,0.0032534504,0.004043542,0.0051,0.10494795,0.3716963,0.43401352,0.0076411627,0.0066713216,0.010907871,0.0071152234,0.037571542
0.009545037,0.00441231,0.0054838276,0.0069165905,0.008756995,0.281471,0.0988397,0.32203275,0.18714467,0.014793189,0.054173887,0.0064300443
0.028738337,0.013284648,0.15056509,0.020824572,0.2944743,0.043131165,0.029479384,0.03120077,0.027240667,0.044539552,0.29716185,0.01935967
0.073779054,0.06677531,0.0074828337,0.009437878,0.01194916,0.14105658,0.37788782,0.13564964,0.012345709,0.020185715,0.13467634,0.008773972
0.033187225,0.17014803,0.019066771,0.024048356,0.030447276,0.204615,0.18884984,0.19083768,0.031457707,0.051434577,0.03355087,0.02235668
0.31625733,0.0027946967,0.003473381,0.11718511,0.00554656,0.00907352,0.03440265,0.0065637184,0.00573063,0.4887878,0.0061119394,0.0040727016
0.0037970173,0.12573753,0.037604988,0.02046318,0.003483534,0.714169,0.0038949272,0.0041223634,0.0035991396,0.005884733,0.0038386222,0.073404916
0.105426885,0.02222213,0.0024902094,0.0031408279,0.105069034,0.067160666,0.0044461745,0.024924295,0.004108524,0.28977653,0.105474375,0.26576033
0.5270037,0.002718045,0.0033781147,0.0042607165,0.06024957,0.008824656,0.033459067,0.0063836914,0.087856166,0.036540385,0.0059443037,0.22338156
0.005298569,0.29904103,0.003044141,0.028555458,0.004861117,0.13153209,0.005435198,0.030468548,0.05445439,0.008211884,0.17836845,0.25072914
0.005432847,0.7881238,0.0031212866,0.003936787,0.030326642,0.008153743,0.005572939,0.031240692,0.030492054,0.059104662,0.03083471,0.0036598546
0.018707208,0.0086476365,0.7961111,0.0135557465,0.017162735,0.028076215,0.019189594,0.020310128,0.017732302,0.028993003,0.018912189,0.01260217
0.025341235,0.7209624,0.014559081,0.01836294,0.023249052,0.038032714,0.025994685,0.02751259,0.024020603,0.039274618,0.025618905,0.017071202
0.17412984,0.005368408,0.006672111,0.17093185,0.010654537,0.017429568,0.0119128,0.28346926,0.22769679,0.017998707,0.06591275,0.007823362
0.25486138,0.004843628,0.05489655,0.00759271,0.302873,0.015725771,0.059624948,0.1580059,0.009932041,0.113992594,0.010592908,0.0070586023
0.068219386,0.0030529893,0.0037943993,0.004785764,0.31413385,0.13314198,0.0067747557,0.007170353,0.037067734,0.41073284,0.0066768196,0.0044491105
0.4550202,0.0086476365,0.010747691,0.0135557465,0.017162735,0.028076215,0.019189594,0.28209794,0.1049949,0.028993003,0.018912189,0.01260217
0.007807026,0.0036088936,0.0044853035,0.005657181,0.371333,0.0117169665,0.044425394,0.08131008,0.043817222,0.3762701,0.00789257,0.04167628
0.009545037,0.048936576,0.0054838276,0.0069165905,0.008756995,0.014325414,0.009791166,0.27750847,0.053571872,0.54908437,0.009649624,0.0064300443
0.0068143867,0.0031500338,0.003915011,0.10029809,0.006251788,0.01022719,0.006990103,0.1345452,0.006459262,0.7098693,0.006889054,0.004590533
0.013024465,0.0060207187,0.0074828337,0.009437878,0.01194916,0.20181118,0.013360315,0.014140462,0.49838236,0.20244947,0.013167178,0.008773972
0.35101056,0.028644117,0.03560026,0.04490156,0.05684922,0.09299863,0.063562915,0.06727453,0.058735833,0.09603537,0.06264405,0.041742973
